"No.","Time","Source","Destination","Protocol","Length","Info"
"140","314.314623","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"141","315.208744","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"142","317.558281","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"143","319.989972","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"144","320.978642","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"145","321.808718","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"146","322.014049","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"147","324.724706","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"148","327.121808","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"149","327.448114","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"150","330.274354","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"151","332.550262","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"152","333.354895","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"153","333.915242","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"154","334.840846","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"155","336.938547","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"156","339.809433","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"157","340.571312","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"158","342.991302","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"159","343.441594","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"160","345.564928","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"161","347.861454","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"162","350.120627","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"163","352.650941","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"164","355.102710","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"165","355.660640","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"166","358.529695","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"167","360.564721","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"168","361.185164","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"169","362.018246","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"170","364.637608","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"171","365.344026","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"172","367.776191","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"173","368.002616","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"174","370.242453","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"175","372.338160","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"176","374.942020","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"177","377.605983","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"178","377.788538","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"179","379.963277","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"180","380.710288","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"181","381.705134","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"182","384.459358","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"183","385.094413","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"184","387.489363","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"185","389.524681","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"186","392.276309","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"187","394.473082","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"188","396.542020","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"189","396.811250","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"190","397.424235","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"191","399.750125","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"192","402.542411","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"193","402.871439","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"194","403.756228","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"195","406.195768","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"196","407.105230","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"197","407.482416","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"198","410.320666","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"199","410.736391","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"200","413.182242","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"201","415.757996","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"202","418.571230","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"203","420.717683","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"204","423.522255","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"205","423.773171","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"206","426.426807","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"207","428.951479","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"208","429.528648","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"209","429.694664","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"210","431.751285","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"211","431.957930","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"212","432.929103","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"213","433.790615","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"214","436.124293","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"215","438.798003","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"216","441.342376","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"217","441.734378","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"218","443.739630","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"219","444.487217","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"220","445.283150","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
